# Found 2012 lines in ascl.php
ascl:1112.009 LISACode
# ascl:1010.038 Low Resolution Spectral Templates For AGNs and Ga
ascl:1209.003 LSD
ascl:1201.016 LumFunc
ascl:1209.006 macula
ascl:1110.018 MADmap
ascl:1010.044 MAESTRO
ascl:1010.054 MagnetiCS.c
ascl:1106.010 MAGPHYS
ascl:1202.005 Mangle
ascl:1011.004 MARS
ascl:1101.009 MasQU
ascl:1104.004 MASSCLEAN
ascl:1205.008 Mayavi2
ascl:1204.005 MC3D
ascl:1107.015 McLuster
ascl:1210.017 McPHAC
ascl:1201.001 McScatter
ascl:1205.001 Mechanic
ascl:1106.006 MECI
ascl:1203.008 MegaLUT
ascl:1209.010 MeqTrees
ascl:1201.008 Mercury
ascl:1010.083 MESA
ascl:1111.009 MESS
# ascl:1205.010 Meudon PDR
ascl:1106.013 MGCAMB
ascl:1010.081 MGGPOD
ascl:1205.003 MIA+EWS
# ascl:1010.008 Mid-infrared astronomy with the E-ELT
ascl:0101.001 MILLISEARCH
ascl:1106.007 MIRIAD
ascl:1110.025 MIS
ascl:1010.062 MissFITS
ascl:1206.010 mkj_libs
ascl:0104.001 MLAPM
ascl:1110.010 MOCASSIN
ascl:1010.009 ModeCode
ascl:1109.023 MOKA
ascl:1212.004 MOLIERE-5
ascl:1206.004 MOLSCAT
ascl:1010.036 Montage
ascl:1202.009 MOOG
ascl:1111.006 MOPEX
ascl:1208.019 MPFIT
ascl:1208.014 MPI-AMRVAC
ascl:1106.022 MPI-Defrost
ascl:1212.003 MPWide
ascl:1102.005 MRLENS
ascl:1112.010 MRS3D
ascl:1109.006 MultiNest
# ascl:1109.008 Multipole Vectors
ascl:1203.009 MYRIAD
ascl:1102.001 N-MODY
# ascl:1102.006 NBODY Codes
ascl:1010.019 NBSymple
# ascl:1101.002 NDSPMHD Smoothed Particle Magnetohydrodynamics Co
ascl:1010.004 Needatool
ascl:1010.051 NEMO
# ascl:1010.085 Network Tools for Astronomical Data Retrieval</td
ascl:1106.016 Nightfall
ascl:1101.006 NIRVANA
# ascl:1011.016 Non-LTE Models and Theoretical Spectra of Accreti
ascl:1202.003 NOVAS
# ascl:1011.017 Occultation and Microlensing</td><td>Occultation 
ascl:1010.048 OCTGRAV
ascl:1210.024 ORBADV
ascl:1106.015 OrbFit
ascl:1204.013 ORSA
ascl:1205.002 p3d
ascl:1105.002 PACCE
ascl:1110.011 Pacerman
ascl:1210.009 PAHFIT
# ascl:1103.008 Parallel HOP
# ascl:1106.009 PARAMESH V4.1
# ascl:1010.039 Parameter Estimation from Time-Series Data with C
ascl:1103.014 ParaView
ascl:1208.020 ParselTongue
